;book:ID;author:string[];author-bibtex:string;author-orcid:string[];booktitle:string;cdrom:string;cite:string[];cite-label:string[];crossref:string;editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];isbn:string[];isbn-type:string[];key:string;mdate:date;month:string;note:string;note-type:string;pages:string[];publisher:string;publisher-href:string;publtype:string;school:string[];series:string;series-href:string;sub:string;sup:string[];title:string;url:string;volume:string;year:int
15963;2881877;Natalya Kizilova;;0000-0001-9981-7616;;;;;;;;https://doi.org/10.1142/7179;;;9789812838735|9789812838742;;books/ws/Kizilova20;2021-03-30;;;;1-200;WorldScientific;;;;Series in Mathematical Biology and Medicine;;;;Optimal Transport Networks in Nature;;10;2022
17021;2889068;Lawrence C. Paulson;;;;;;;;;;https://doi.org/10.1007/BFb0030541;;;3-540-58244-4;;books/sp/Paulson94;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Isabelle - A Generic Theorem Prover (with a contribution by T. Nipkow);;828;1994
2078;2850516;Gabriel Ghinita;;;Privacy for Location-based Services;;;;;;;https://doi.org/10.2200/S00485ED1V01Y201303SPT004;;;9781627051491|9781627051507;;series/synthesis/2013Ghinita;2017-05-16;;;;1-85;Morgan & Claypool Publishers;;;;Synthesis Lectures on Information Security, Privacy, and Trust;db/series/synthesis/spt.html;;;Privacy for Location-based Services;;;2013
14873;2879237;Evangelia I. Zacharaki;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-01648583;;;;;books/hal/Zacharaki17;2017-12-14;;;;;;;habil;University of Paris-Est, France;;;;;Computational methods towards image-based biomarkers and beyond. (Méthodes computationnelles pour des biomarqueurs basés sur l'image et au-delà).;;;2017
19139;8910123;Jürgen Rauschenbach;;;;;;;;;;https://d-nb.info/870212508;;;;;phd/dnb/Rauschenbach86;2021-07-17;;;;1-119;Iir;;;;;;;;Realisierung und Leistungsbewertung eines Transportdienstes am Beispiel des Rechnernetzes DELTA.;;;1986
16576;2886143;Edgar N. Sánchez|Larbi Djilali;;0000-0002-3594-5747;;;;;;;;https://doi.org/10.1007/978-3-030-47443-0;;;978-3-030-47442-3;;books/sp/SanchezD20;2020-09-05;;;;1-187;Springer;;;;;;;;Neural Control of Renewable Electrical Power Systems;;278;2020
3136;2853570;Oge Marques;;;;;;;;;;https://doi.org/10.1007/978-3-030-54032-6;;;978-3-030-54030-2;;series/sbcs/Marques20;2020-11-25;;;;1-58;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Image Processing and Computer Vision in iOS;;;2020
6951;2862967;Dimiter Driankov|Hans Hellendoorn|Michael Reinfrank;;;;;;;;;;;;;978-3-540-60691-8;;books/daglib/0082826;2011-04-26;;;;I-XV, 1-316;Springer;;;;;;;;An introduction to fuzzy control (2. Aufl.).;;;1996
14162;2878526;Michel Mollard;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-00333335;;;;;books/hal/Mollard89;2017-09-28;;;;;;;habil;Joseph Fourier University, Grenoble, France;;;;;Quelques problèmes combinatoires sur l'hypercube et les graphes de Hamming.;;;1989
12089;2871667;Volker Turau;;;;;;;;;;;;;978-3-89864-131-9;;books/daglib/0004918;2019-07-22;;;;I-XIV, 1-440;dpunkt.verlag;;;;iX-Edition;;;;Java Server Pages - dynamische Generierung von Web-Dokumenten, 2. Auflage.;;;2001
16543;2886078;Christiane Feder;;;;;;;;;;https://d-nb.info/900420332|https://doi.org/10.1007/978-3-642-84166-8;;;3-540-52467-3;;books/sp/Feder90;2021-07-17;;;;1-250;Springer;;;University of Erlangen-Nuremberg, Germany;Informatik-Fachberichte;db/series/ifb/index.html;;;Ausnahmebehandlung in objektorientierten Programmiersprachen;;235;1990
14794;2879158;Samir Perlaza;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-03429274;;;;;books/hal/Perlaza21;2022-01-13;;;;;;;habil;Claude Bernard University Lyon 1, France|INSA de Lyon, France;;;;;Contributions to Information and Energy Systems. (Contributions aux Systèmes d'Information et d'Energie).;;;2021
18219;2894471;;;;;;;;;Gaurav Somani 0001|Rajkumar Buyya|Sanjay Chaudhary;0000-0001-9127-360X|0000-0001-9754-6496;https://doi.org/10.1007/978-981-10-5026-8;;;978-981-10-5025-1|978-981-10-5026-8;;books/sp/CSB2017;2020-12-29;;;;;Springer;;;;;;;;Research Advances in Cloud Computing;db/books/collections/CSB2017.html;;2017
10032;2866444;Brian J. Gordon|Kenneth A. Barclay;;;;;;;;;;;;;978-0-13-126673-5;;books/daglib/0068781;2011-04-08;;;;I-XIII, 1-552;Prentice Hall;;;;;;;;C++ problem solving and programming.;;;1994
18590;2895670;Hajo A. Reijers;;;;;;;;;;https://doi.org/10.1007/3-540-36615-6;;;3-540-01186-2;;books/sp/Reijers03;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Design and Control of Workflow Processes: Business Process Management for the Service Industry;;2617;2003
11709;2868340;Jacques Bertin;;;;;;;;;;http://esripress.esri.com/display/index.cfm?fuseaction=display&websiteID=190&moduleID=0;;;978-1-58948-261-6;;books/daglib/0025540;2011-02-04;;;;;ESRI;;;;;;;;Semiology of Graphics - Diagrams, Networks, Maps.;;;2010
11783;2868423;Ronald Maier;;;;;;;;;;http://www.springerlink.com/content/978-3-540-71407-1;archive;;978-3-540-71407-1;;books/daglib/0019031;2020-02-25;;;;I-XIV, 1-720;Springer;;;;;;;;Knowledge management systems - information and communication technologies for knowledge management (3. ed.).;;;2007
14688;2879052;Marc Gelgon;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-00450297;;;;;books/hal/Gelgon07;2017-09-28;;;;;;;habil;University of Nantes, France;;;;;Structuration statistique de données multimédia pour la recherche d'information. (Statistical structuring of multimedia data for information retrieval).;;;2007
741;2845711;Chang Wook Ahn;;;;;;;;;;https://doi.org/10.1007/3-540-31759-7;;;978-3-540-31758-6;;series/sci/2006-18;2017-05-31;;;;;Springer;;;;Studies in Computational Intelligence;db/series/sci/index.html;;;Advances in Evolutionary Algorithms: Theory, Design and Practice.;;18;2006
4;2293;;;;Handbook of Ambient Assisted Living;;;;;Achilles Kameas|Andrew Sixsmith|Jean Roberts|Juan Carlos Augusto|Julie Maitland|Michael Huch|Paul J. McCullagh|Reiner Wichert;;http://www.booksonline.iospress.nl/Content/View.aspx?piid=26497;;;978-1-60750-836-6;;reference/assisted/2012;2012-03-28;;;;;IOS Press;;;;Ambient Intelligence and Smart Environments;db/series/aise/index.html;;;Handbook of Ambient Assisted Living - Technology for Healthcare, Rehabilitation and Well-being;db/reference/assisted/assisted2012.html;11;2012
2052;2850490;Abhay Parekh|Jean C. Walrand;;;Sharing Network Resources;;;;;;;https://doi.org/10.2200/S00572ED1V01Y201403CNT015;;;;;series/synthesis/2014Parekh;2017-05-16;;;;;Morgan & Claypool Publishers;;;;Synthesis Lectures on Communication Networks;db/series/synthesis/cnt.html;;;Sharing Network Resources;;;2014
2050;2850488;Jongmin Lee 0003|Michael Stanley;;;Sensor Analysis for the Internet of Things;;;;;;;https://doi.org/10.2200/S00827ED1V01201802ASE017;;;;;series/synthesis/2018Stanley;2019-07-19;;;;;Morgan & Claypool Publishers;;;;Synthesis Lectures on Algorithms and Software in Engineering;db/series/synthesis/ase.html;;;Sensor Analysis for the Internet of Things;;;2018
14671;2879035;Romain Péchoux;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-02978986;;;;;books/hal/Pechoux20;2020-12-16;;;;;;;habil;University of Lorraine, Nancy, France;;;;;Complexité implicite : bilan et perspectives. (Implicit Computational Complexity: past and future).;;;2020
13321;2873044;Gregory Dudek|Michael R. M. Jenkin;;;;;;;;;;;;;978-0-521-56876-0;;books/daglib/0015806;2011-04-18;;;;I-XII, 1-280;Cambridge University Press;;;;;;;;Computational principles of mobile robotics.;;;2000
11240;2867815;Alex Calvo;;;;;;;;;;;;;978-0-387-94814-0;;books/daglib/0084781;2011-04-27;;;;I-XIX, 1-185;Springer;;;;;;;;The craft of Windows 95 interface design - click here to begin.;;;1996
10816;2867340;Bruce I. Blum;;;;;;;;;;;;;978-0-19-507159-7;;books/daglib/0085455;2011-04-29;;;;I-XIII, 1-588;Oxford University Press;;;;;;;;Software engineering - a holistic view.;;;1992
1362;2849800;Venkatraman Atti;;;Algorithms and Software for Predictive and Perceptual Modeling of Speech;;;;;;;https://doi.org/10.2200/S00333ED1V01Y201102ASE007;;;;;series/synthesis/2011Atti;2017-05-16;;;;;Morgan & Claypool Publishers;;;;Synthesis Lectures on Algorithms and Software in Engineering;db/series/synthesis/ase.html;;;Algorithms and Software for Predictive and Perceptual Modeling of Speech;;;2011
7915;2864072;;;;;;;;;Armin Heinzl|Jens Dibbern|Rudy Hirschheim;;https://doi.org/10.1007/978-3-662-43820-6;;;978-3-662-43819-0|978-3-662-43820-6;;books/daglib/0037714;2017-05-16;;;;;Springer;;;;;;;;Information Systems Outsourcing, Towards Sustainable Business Value;db/books/collections/HHD2014.html;;2014
10654;2867162;Tim Dwyer;;;;;;;;;;https://doi.org/10.1007/978-1-137-30687-6;;;978-1-13-730686-9|978-1-137-30687-6;;books/daglib/0037377;2017-03-13;;;;I-VII, 1-199;Palgrave Macmillan;;;;Palgrave Global Media Policy and Business Series;;;;Convergent Media and Privacy.;;;2015
15260;2879624;Cécile Roisin;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-00004847;;;;;books/hal/Roisin99;2017-09-28;;;;;;;habil;Grenoble Institute of Technology, France;;;;;Documents structurés multimédia. (Structured multimedia Documents).;;;1999
5973;2861889;Murray Shanahan|Richard Southwick;;;;;;;;;;;;;978-0-7458-0488-0;;books/daglib/0068832;2011-05-05;;;;1-140;Ellis Horwood;;;;Ellis Horwood Series in artificial intelligence;;;;Search, inference and dependencies in artificial intelligence.;;;1989
2932;2853362;Longxiang Gao|Shui Yu|Tom H. Luan|Wanlei Zhou;;0000-0003-4485-6743;;;;;;;;https://doi.org/10.1007/978-3-319-18108-0;;;978-3-319-18107-3|978-3-319-18108-0;;series/sbcs/GaoYLZ15;2022-01-03;;;;1-85;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Delay Tolerant Networks;;;2015
9860;2866251;Dror G. Feitelson;;;;;;;;;;;;;978-0-262-56062-7;;books/daglib/0069190;2011-05-02;;;;I-XXII, 1-393;MIT Press;;;;;;;;Optical computing - a survey for computer scientists.;;;1992
2939;2853369;Wyatt Travis Clark;;;;;;;;;;https://doi.org/10.1007/978-3-319-04138-4;;;978-3-319-04137-7;;series/sbcs/Clark14;2017-05-16;;;;1-44;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Information-Theoretic Evaluation for Computational Biomedical Ontologies;;;2014
11001;2867553;John S. Nicolis;;;;;;;;;;;;;978-3-540-13323-0;;books/daglib/0067729;2019-06-28;;;;I-XV, 1-392;Springer;;;;Springer series in synergetics;;;;Dynamics of hierarchical systems - an evolutionary approach.;;25;1986
16872;2887969;Mingyu Xiao|Ton Kloks;;;;;;;;;;https://doi.org/10.1007/978-981-16-6350-5;;;978-981-16-6349-9;;books/sp/KloksX22;2022-03-04;;;;1-340;Springer;;;;;;;;A Guide to Graph Algorithms;;;2022
12896;2872570;Barry G. Blundell;;;;;;;;;;http://www.springer.com/computer/computer+imaging/book/978-1-84800-041-4;;;978-1-8480-0041-4;;books/daglib/0021860;2011-03-16;;;;I-XVII, 1-501;Springer;;;;;;;;An introduction to computer graphics and creative 3-D environments.;;;2008
13963;2877086;;;;;;;;books/mk/Gray91;Jim Gray 0001;;;;;;;books/mk/Gray91;2019-08-03;;;;;Morgan Kaufmann;db/publishers/mkp.html;;;;;;;The Benchmark Handbook for Database and Transaction Systems (1st Edition).;db/books/collections/gray91.html;;1991
14202;2878566;Michel Depeyrot;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-00286231;;;;;books/hal/Depeyrot75;2017-09-28;;;;;;;habil;Grenoble Institute of Technology, France|Joseph Fourier University, Grenoble, France;;;;;Une généralisation de la notion d'automate et applications.;;;1975
3471;2854975;Ajith Abraham|Anand J. Kulkarni|Dipti Kapoor Sarmah;;0000-0001-6242-9492;;;;;;;;https://doi.org/10.1007/978-3-030-42044-4;;;978-3-030-42043-7;;series/isrl/2020-187;2020-09-05;;;;1-166;Springer;;;;Intelligent Systems Reference Library;db/series/isrl/index.html;;;Optimization Models in Steganography Using Metaheuristics;;187;2020
1897;2850335;James Laudon|Kunle Olukotun|Lance Hammond;;;iChip Multiprocessor Architecture: Techniques to Improve Throughput and Latency;;;;;;;https://doi.org/10.2200/S00093ED1V01Y200707CAC003;;;;;series/synthesis/2007Olukotun;2017-05-16;;;;;Morgan & Claypool Publishers;;;;Synthesis Lectures on Computer Architecture;db/series/synthesis/cac.html;;;iChip Multiprocessor Architecture: Techniques to Improve Throughput and Latency;;;2007
3312;2854173;David Robertson|Yun-Heh Chen-Burger;;;;;;;;;;https://doi.org/10.1007/b138799;;;978-1-84628-106-8|978-1-85233-835-0;;series/aikp/Chen-BurgerR05;2017-05-16;;;;1-228;Springer;;;;Advanced Information and Knowledge Processing;db/series/aikp/index.html;;;Automating Business Modelling - A Guide to Using Logic to Represent Informal Methods and Support Reasoning.;;;2005
5607;2861474;Clive Fencott;;;;;;;;;;;;;978-1-85032-173-6;;books/daglib/0074090;2011-04-08;;;;I-XIII, 1-290;International Thomson;;;;;;;;Formal methods for concurrency.;;;1996
15806;2881340;Ronald E. Mickens;;;;;;;;;;https://doi.org/10.1142/5466;;;978-981-238-750-9;;books/ws/Mickens04;2017-05-16;;;;1-540;World Scientific;;;;Series on Advances in Mathematics for Applied Sciences;;;;Mathematical Methods for the Natural and Engineering Sciences;;65;2004
3400;2854584;Alireza Rezvanian|Javidan Kazemi Kordestani|Mehdi Razapoor Mirsaleh|Mohammad Reza Meybodi;;;;;;;;;;https://doi.org/10.1007/978-3-030-76291-9;;;978-3-030-76290-2;;series/isrl/2021-208;2021-06-25;;;;1-340;Springer;;;;Intelligent Systems Reference Library;db/series/isrl/index.html;;;Advances in Learning Automata and Intelligent Optimization;;208;2021
2644;2852080;;;;;;;;;Ahmed K. Elmagarmid|William J. McIver Jr.;;https://doi.org/10.1007/b116295;;;1-4020-7067-5;;series/ads/2002-26;2017-05-16;;;;;Springer;;;;Advances in Database Systems;db/series/ads/index.html;;;Advances in Digital Government - Technology, Human Factors, and Policy;db/series/ads/ads26.html;26;2002
7622;2863742;Danny Goodman;;;;;;;;;;http://www.oreilly.de/catalog/9780596527402/index.html;;;;;books/daglib/0017520;2011-03-21;;;;I-XI, 1-1307;O'Reilly;;;;;;;;Dynamic HTML - the definitive reference: a comprehensive resource for XHTML, CSS, DOM, and JavaScript (3. ed.).;;;2007
3695;2855814;Philippe Baumard;;;;;;;;;;https://doi.org/10.1007/978-3-319-54308-6;;;978-3-319-54306-2|978-3-319-54308-6;;series/sbcysec/Baumard17;2017-05-16;;;;1-106;Springer;;;;Springer Briefs in Cybersecurity;db/series/sbcysec/index.html;;;Cybersecurity in France;;;2017
1416;2849854;Kurian George;;;;;;;;;;https://doi.org/10.2200/S01008ED1V01Y202004OSE003;;;;;series/synthesis/2020George;2022-01-06;;;;1-75;Morgan & Claypool Publishers;;;;Synthesis Lectures on Ocean Systems Engineering;db/series/synthesis/ose.html;;;Water-Train: The Most Energy-Efficient Inland Water Transportation;;;2020
1104;2848455;Ahmad Khawaji|Dan Conway|Fang Chen 0001|Jianlong Zhou|Kun Yu|Syed Z. Arshad|Yang Wang 0002;;0000-0001-6034-644X|0000-0002-6815-0879;;;;;;;;https://doi.org/10.1007/978-3-319-31700-7;;;978-3-319-31698-7|978-3-319-31700-7;;series/hci/ChenZWYAKC16;2021-10-14;;;;3-254;Springer;;;;Human-Computer Interaction Series;db/series/hci/index.html;;;Robust Multimodal Cognitive Load Measurement;;;2016
4900;2860681;Andrew Kehler;;;;;;;;;;;;;978-1-57586-216-3;;books/daglib/0000871;2019-07-15;;;;I-V, 1-226;CSLI Publications;;;;CSLI lecture notes series;;;;Coherence, reference, and the theory of grammar.;;104;2002
11122;2867682;Dominik Stoffel|Wolfgang Kunz;;;;;;;;;;https://doi.org/10.1007/978-1-4757-2572-8;;;978-0-7923-9921-6;;books/daglib/0040168;2017-05-16;;;;I-XV, 1-230;Springer;;;;Frontiers in electronic testing;;;;Reasoning in Boolean Networks - Logic Synthesis and Verification Using Testing Techniques.;;;1997
5000;2860799;Constantinos A. Balafoutis|Rajnikant V. Patel;;;;;;;;;;;;;978-0-7923-9145-6;;books/daglib/0071820;2019-07-17;;;;I-XII, 1-292;Kluwer;;;;The Kluwer international series in engineering and computer science;;;;Dynamic analysis of robot manipulators - a Cartesian tensor approach.;;131;1991
2434;2850944;Ceriel J. H. Jacobs|Dick Grune;;;;;;;;;;https://doi.org/10.1007/978-0-387-68954-8;;;978-0-387-20248-8|978-0-387-68954-8;;series/mcs/GruneJ08;2017-05-16;;;;1-643;Springer;;;;Monographs in Computer Science;db/series/mcs/index.html;;;Parsing Techniques - A Practical Guide;;;2008
17915;2892075;Bernhard Westfechtel;;;;;;;;;;https://doi.org/10.1007/3-540-46708-4;;;3-540-66756-3;;books/sp/Westfechtel99;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Models and Tools for Managing Development Processes;;1646;1999
5453;2861295;John R. Ellis;;;;;;;;;;;;;978-0-9627477-8-6;;books/daglib/0082605;2019-07-19;;;;I-XVIII, 1-524;SIGS Books;;;;Advances in object technology;;;;Objectifying real-time systems.;;2;1994
14080;2877947;Anton Bardera|Han-Wei Shen|Ivan Viola|Mateu Sbert|Min Chen 0001|Miquel Feixas;;0000-0001-6512-7588|0000-0001-9648-0624|0000-0003-4248-6574;;;;;;;;https://doi.org/10.1201/9781315369228;;;9781315369228;;books/crc/cfv2016;2021-10-14;;;;;CRC Press;;;;;;;;Information Theory Tools for Visualization.;;;2016
11639;2868262;;;;;;;;;;;;;;;;books/daglib/0070557;2019-07-18;;;;I-V, 1-89;NTIS;;;;;;;;The Federal high performance computing program - Sept. 89.;;;1989
3848;2857392;;;;Mining Social Networks and Security Informatics;;;;;Jon G. Rokne|Suheil Khoury|Tansel Özyer|Zeki Erdem;;https://doi.org/10.1007/978-94-007-6359-3;;;978-94-007-6358-6;;series/lnsn/2013oerk;2017-05-16;;;;;Springer;;;;Lecture Notes in Social Networks;db/series/lnsn/index.html;;;Mining Social Networks and Security Informatics;db/series/lnsn/oerk2013.html;;2013
5461;2861304;David S. Prerau;;;;;;;;;;;;;978-0-201-13659-3;;books/daglib/0070410;2011-05-03;;;;I-XV, 1-363;Addison-Wesley;;;;;;;;Developing and managing expert systems - proven techniques for business and industry.;;;1990
12143;2871727;Günther Sandner|Hans Spengler;;;;;;;;;;;;;978-3-00-019690-4;;books/daglib/0017717;2011-03-24;;;;;Eigenverlag G. Sandner und H. Spengler;;;;;;;;Die Entwicklung der Datenverarbeitung von Hollerith Lockkartenmaschinen zu IBM Enterprise-Servern.;;;2006
4365;2860078;Alex Galis|Arto Juhola|Danny Raz|Joan Serrat-Fernández;;;;;;;;;;;;;978-0-470-01668-8;;books/daglib/0017974;2019-07-12;;;;I-XIII, 1-207;Wiley;;;;Wiley series in communications networking and distributed systems;;;;Fast and efficient context-aware services.;;;2006
3085;2853517;Dániel Leitold|János Abonyi|Ágnes Vathy-Fogarassy;;0000-0001-8593-1493|0000-0002-5524-1675|0000-0003-2644-8164;;;;;;;;https://doi.org/10.1007/978-3-030-36472-4;;;978-3-030-36471-7;;series/sbcs/LeitoldVA20;2020-02-06;;;;1-85;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Network-Based Analysis of Dynamical Systems - Methods for Controllability and Observability Analysis, and Optimal Sensor Placement;;;2020
12779;2872443;J. Glenn Brookshear;;;;;;;;;;;;;978-0-8053-0143-4;;books/daglib/0067905;2011-05-05;;;;I-XII, 1-322;Benjamin/Cummings;;;;notThenot Benjamin/Cummings series in computer science;;;;Formal languages, automata, and complexity - theory of computation.;;;1989
8253;2864462;Ivan Flores;;;;;;;;;;;;;;;books/daglib/0072164;2011-04-08;;;;I-XII, 1-458;Prentice Hall;;;;;;;;Computer logic - the functional design of digital computers.;;;1960
19036;6083028;;;;Geospatial Semantics and the Semantic Web;;;;;Amit P. Sheth|Naveen Ashish;;https://doi.org/10.1007/978-1-4419-9446-2;;;;;conf/swb/2011geo;2017-05-22;;;;;Springer;;;;Semantic Web and Beyond: Computing for Human Experience;db/series/swb/index.html;;;Geospatial Semantics and the Semantic Web - Foundations, Algorithms, and Applications;db/conf/swb/geo2011.html;12;2011
6060;2861981;Natarajan Shankar;;;;;;;;;;;;;978-0-521-42027-3;;books/daglib/0084079;2019-07-19;;;;I-XV, 1-202;Cambridge University Press;;;;Cambridge tracts in theoretical computer science;;;;Metamathematics, machines, and Gödels's proof.;;38;1994
11343;2867931;George F. Luger;;;;;;;;;;;;;978-3-8273-7002-0;;books/daglib/0004617;2011-04-12;;;;1-892;Pearson Studium;;;;;;;;Künstliche Intelligenz - Strategien zur Lösung komplexer Probleme (4. Aufl.).;;;2001
13494;2874322;Wolfgang Bibel;;;;;;;;;;https://www.worldcat.org/oclc/16641802;;;3528185201;;books/lib/Bibel87a;2020-07-17;;;;I-XIV, 1-288;Vieweg;;;;Artificial intelligence;;;;Automated theorem proving, 2nd Edition.;;;1987
14131;2878495;Bernard Van Cutsem;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-00282794;;;;;books/hal/Cutsem71;2017-09-28;;;;;;;habil;Joseph Fourier University, Grenoble, France;;;;;Eléments aléatoires à valeurs convexes compactes.;;;1971
2996;2853427;Levente Buttyán|Máté Horváth;;0000-0001-9512-5196;;;;;;;;https://doi.org/10.1007/978-3-319-98041-6;;;978-3-319-98040-9;;series/sbcs/HorvathB20;2020-12-29;;;;1-81;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Cryptographic Obfuscation - A Survey;;;2020
3842;2857385;Giovanni Meroni;;0000-0002-9551-1860;;;;;;;;https://doi.org/10.1007/978-3-030-32412-4;;;978-3-030-32411-7;;series/lnbip/Meroni19;2019-11-26;;;;1-130;Springer;;;;Lecture Notes in Business Information Processing;db/series/lnbip/index.html;;;Artifact-Driven Business Process Monitoring - A Novel Approach to Transparently Monitor Business Processes, Supported by Methods, Tools, and Real-World Applications;;368;2019
12128;2871711;Vladimir Pestov;;;;;;;;;;;;;978-0-8218-4137-2;;books/daglib/0026685;2019-07-12;;;;1-192;American Mathematical Society;;;;University lecture series;;;;Dynamics of Infinite-dimensional Groups - The Ramsey-Dvoretzky-Milman Phenomenon.;;40;2006
11447;2868050;;;;;;;;;Patrizio Campisi;;https://doi.org/10.1007/978-1-4471-5230-9;;;978-1-4471-5229-3|978-1-4471-5230-9;;books/daglib/0032278;2017-05-16;;;;;Springer;;;;;;;;Security and Privacy in Biometrics;db/books/daglib/0032278.html;;2013
13916;2876638;Alfons Kemper|André Eickler;;;;;;;;;;;;;3-486-25706-4;;books/ol/KemperE01;2002-01-28;;;;;Oldenbourg;;;;;;;;Datenbanksysteme - Eine Einführung, 4. Auflage;db/books/dbtext/KemperE01.html;;2001
15030;2879394;Christian Grothoff;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-01654244;;;;;books/hal/Grothoff17;2017-12-14;;;;;;;habil;University of Rennes 1, France;;;;;The GNUnet System.;;;2017
10981;2867530;Uwe Schöning;;;;;;;;;;;;;978-3-86025-684-8;;books/daglib/0079185;2019-07-22;;;;1-207;Spektrum Akademischer Verlag;;;;Reihe Informatik;;;;Logik für Informatiker, 4. Auflage.;;;1995
17966;2892838;Hercules Dalianis;;;;;;;;;;https://doi.org/10.1007/978-3-319-78503-5;oa;;978-3-319-78502-8;;books/sp/Dalianis18;2020-01-31;;;;1-157;Springer;;;;;;;;Clinical Text Mining - Secondary Use of Electronic Patient Records;;;2018
4748;2860512;Werner Erhard;;;;;;;;;;;;;978-3-519-02243-5;;books/daglib/0067974;2011-05-03;;;;I-X, 1-251;Teubner;;;;Leitfäden und Monographien der Informatik;;;;Parallelrechnerstrukturen - Synthese von Architektur, Kommunikation und Algorithmus.;;;1990
18396;2894999;Jirí Soukup|Petr Machácek;;;;;;;;;;https://doi.org/10.1007/978-3-642-39323-5;;;978-3-642-39322-8|978-3-642-39323-5;;books/sp/SoukupM14;2017-05-16;;;;1-255;Springer;;;;;;;;Serialization and Persistent Objects - Turning Data Structures into Efficient Databases;;;2014
18818;2897171;James P. Fry|Toby J. Teorey;;;;;;;;;;;;;;;books/ph/TeoreyF82;2002-01-03;;;;;Prentice-Hall;;;;;;;;Design of Database Structures;;;1982
11723;2868357;Robert D. Tennent;;;;;;;;;;;;;978-0-13-709873-6;;books/daglib/0067034;2011-05-05;;;;I-XIV, 1-271;Prentice Hall;;;;Prentice Hall International Series in Computer Science;;;;Principles of programming languages.;;;1981
10258;2866709;Marcos Cesar Danhoni Neves;;;;;;;;;;;;;978-8-576-28591-5;;books/daglib/0036080;2015-07-14;;;;1-40;Editora da Universidade Estadual de Maringa;;;;;;;;O mago que veio do ceu, Second Edition.;;;2014
4111;2859255;;;;;;;;;Alexander Mehler|Chris Biemann;;https://doi.org/10.1007/978-3-319-12655-5;;;978-3-319-12654-8|978-3-319-12655-5;;series/tanlp/BM2014;2019-03-06;;;;;Springer;;;;Theory and Applications of Natural Language Processing;db/series/tanlp/index.html;;;Text Mining - From Ontology Learning to Automated Text Processing Applications;db/series/tanlp/BM2014.html;;2014
15064;2879428;Benoit Gaudou;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-03283992;;;;;books/hal/Gaudou16;2021-07-29;;;;;;;habil;Toulouse 1 University Capitole, France;;;;;Toward complex models of complex systems - One step further in the art of Agent-Based Modelling.;;;2016
10980;2867529;Jeff Webb|Steve Saunders;;;;;;;;;;http://www.oreilly.de/catalog/progexcel/index.html;;;978-0-596-00766-9;;books/daglib/0016127;2011-03-23;;;;I-XXI, 1-1090;O'Reilly;;;;;;;;Programming Excel with VBA and .NET - solve real-world problems with Excel.;;;2006
13193;2872904;Nicholas J. Higham;;0000-0001-5956-4976;;;;;;;;https://doi.org/10.1137/1.9780898717778|https://www.wikidata.org/entity/Q29391659;;;978-0-89871-646-7;;books/daglib/0020241;2018-11-14;;;;I-XX, 1-425;SIAM;;;;;;;;Functions of matrices - theory and computation.;;;2008
2275;2850713;Bruce L. Jacob;;;The Memory System: You Can't Avoid It, You Can't Ignore It, You Can't Fake It;;;;;;;https://doi.org/10.2200/S00201ED1V01Y200907CAC007;;;;;series/synthesis/2009Jacob;2017-05-16;;;;;Morgan & Claypool Publishers;;;;Synthesis Lectures on Computer Architecture;db/series/synthesis/cac.html;;;The Memory System: You Can't Avoid It, You Can't Ignore It, You Can't Fake It;;;2009
7268;2863323;Stephen I. Gallant;;;;;;;;;;;;;978-0-262-07145-1;;books/daglib/0070918;2011-04-28;;;;I-XVI, 1-365;MIT Press;;;;;;;;Neural network learning and expert systems.;;;1993
2853;2853268;Bernadette Longo;;0000-0003-0879-2666;;;;;;;;https://doi.org/10.1007/978-3-030-70373-8;;;978-3-030-70372-1;;series/hoc/Longo21;2021-08-12;;;;1-143;Springer;;;;History of Computing;db/series/hoc/index.html;;;Words and Power - Computers, Language, and U.S. Cold War Values;;;2021
12937;2872618;Augustin Paulik|Martin Lowes;;;;;;;;;;;;;978-3-519-22286-6;;books/daglib/0077804;2011-04-12;;;;1-264;Teubner;;;;;;;;Programmieren mit C - Ansi standard (3. Aufl.).;;;1995
